property_description,id,owner,listing_type,date,price,no_of_reviews,neighbourhood,latitude,longitude
Bugis/Dhoby/Orchard: Spacious Rm L1,22534903,That Green Corner,Not Home,23/5/23,99,37,Rochor,1.30057,103.85183
#2 Huge Loft like apt w/DJ studio & amazing views,28266733,Darren,Not Home,12/8/23,99,49,Rochor,1.30075,103.85053
Singapore on your doorstep in bustling Bugis!,32320133,Peter,Not Home,10/6/23,99,23,Downtown Core,1.29769,103.85582
Big aircon rooms ideal upto 3 people to stay in,23368282,Minn Thu,Not Home,20/5/23,49,46,Novena,1.32386,103.85763
Bedroom En-Suite @ Orchard/Central Area....,4139205,Rc,Not Home,22/8/23,94,100,River Valley,1.29671,103.83999
Grand En Suite 2 Near Orchard,5494971,Anita & David,Not Home,23/8/23,94,231,Novena,1.31773,103.84633
CBD/MBS/Orchard/Somerset/Clark quay within mins!,23395154,Goh,Not Home,23/7/23,94,111,River Valley,1.29689,103.8408
Standard Single  - 2mins away from Chinatown MRT,22320005,Kelvin,Not Home,23/6/23,94,50,Outram,1.28329,103.84357
Huge Master Room at Bugis Area,7914388,Vicky,Not Home,8/8/23,90,161,Rochor,1.3009,103.85213
New Bedroom Suite / WIFI @ Central Area,12301230,Rc,Not Home,28/2/23,90,27,River Valley,1.29573,103.83769
NEW Cosy private Bedroom @ Orchard/Somerset Area..,15532644,Rc,Not Home,31/12/23,90,47,River Valley,1.29754,103.83978
City Apartment Rm w/ King Bed+Window @ Orchard_11,15751335,Julie,Not Home,6/8/23,90,23,Newton,1.30473,103.83446
NEW Private EnSuite BedRoom @City/Orchard/Somerset,20743994,Pat,Not Home,13/8/23,90,23,River Valley,1.29815,103.83931
"Suite for 2,attached toilet, can  cook,MRT,in City",28761340,Paryani,Not Home,30/6/23,90,12,Rochor,1.30233,103.84894
Posh En Suite 3 Near Orchard,14232394,Anita & David,Not Home,25/6/23,89,30,Novena,1.31758,103.84761
#1 Huge Loft like apt w/DJ studio & amazing views,23052272,Darren,Not Home,23/7/23,89,88,Rochor,1.30236,103.8501
Pvt Bedroom Suite @ Orchard Central Area.,2146015,Rc,Not Home,28/7/23,87,98,River Valley,1.29488,103.83973
Cosy Bedroom En-Suite@ Orchard area,10084321,L,Not Home,8/7/23,87,46,River Valley,1.2948,103.8388
Orchard River Valley family room,11231423,Wei,Not Home,23/6/23,85,103,River Valley,1.29416,103.83654
ORCHARD FAMILY ROOM 6,6774977,Crystal,Not Home,15/9/23,78,111,River Valley,1.29453,103.83733
Small room near Boon Keng MRT,12658514,Cecilia,Not Home,23/8/23,39,48,Novena,1.32484,103.85537
Project Bugis: Standard Double Loft,5922010,5footway,Not Home,6/3/23,76,39,Rochor,1.30162,103.86022
Project Bugis: Standard Twin Room,5922323,5footway,Not Home,13/8/23,76,23,Rochor,1.30223,103.86083
City Apartment Rm w/ Queen Bed @ Orchard_5,15362541,Julie,Not Home,15/6/23,76,37,Orchard,1.30385,103.83477
CBD Pool Facing Room near Clark Quay & Orchard,31201062,Shan,Not Home,26/1/23,19,14,River Valley,1.29192,103.83889
Cozy and luxurious room close to CBD!,20514799,Sunny,Not Home,1/7/23,75,59,Novena,1.32381,103.84699
"Bedroom Suite for 1,private bathroom in City, MRT!",28761398,Paryani,Not Home,10/8/23,75,23,Rochor,1.30315,103.85086
★★FamilyCityCtrRoom/Orchard/ClarkeQuay★★,29600350,Damien,Not Home,24/8/23,71,29,Tanglin,1.29463,103.83065
Heritage Shophouse Right in Epicentre of Sights,2357514,Val,Not Home,20/8/23,69,307,Outram,1.28448,103.8436
Gorgeous Suite Mins from the City!,4526966,Jack,Not Home,24/8/23,69,15,Novena,1.3218,103.84266
For Startups & Entrepreneurs - Queen in 23 Bed,15905849,Tribe Theory,Not Home,10/8/23,69,25,Downtown Core,1.27992,103.84483
Massive Room in Chinatown Shophouse,2388042,Val,Not Home,14/8/23,67,23,Outram,1.28409,103.84514
Diva's bed/share room at Bugis -female only,22734583,Jessie,Not Home,26/7/23,33,25,Rochor,1.29839,103.85171
Divas's Place  Female share room at city centre,16863370,Jessie,Not Home,12/8/23,32,11,Rochor,1.30007,103.85154
新国际女神聚居地 Divas place@ City centre-Female only,10106290,Jessie,Not Home,16/7/23,31,35,Rochor,1.30024,103.8529
CityCtrPrivateFamilyRoom/Orchard,29599789,Damien,Not Home,25/8/23,62,32,Tanglin,1.29426,103.83074
High floor with fantastic city view,10302153,Daiyhsi,Not Home,5/8/23,60,51,Outram,1.28358,103.84438
1-person Bunk Bed Not Home,3802621,Superb Hostel,Not Home,13/8/23,58,20,Rochor,1.30376,103.85923
Front/Side Entry Premier Space Pod @MET Boat Quay,10001615,Justin,Not Home,13/8/23,56,39,Singapore River,1.28672,103.84831
Diva's Bed/Not Home @citycentre-Female only!,10478373,Jessie,Not Home,26/7/23,28,82,Rochor,1.30044,103.85173
★★CosyCoupleCityCtrRoom/Orchard/ClarkeQuay★★,29600789,Damien,Not Home,3/6/23,56,34,Tanglin,1.29453,103.82983
The Bliss - Little India,28163613,Sundeep,Not Home,4/8/23,56,25,Rochor,1.30886,103.85305
Ladies-Only Not Home @ Chinatown,1678744,Wink,Not Home,22/7/23,50,134,Outram,1.28425,103.8432
Front/Side Entry Deluxe Space Pod@MET Boat Quay,9910891,Justin,Not Home,5/8/23,50,36,Singapore River,1.2866,103.85051
For Startups & Entrepreneurs - 10 Bed Capsule Dorm,15895531,Tribe Theory,Not Home,11/6/23,50,60,Outram,1.28118,103.84532
Cube Boutique Capsule Hotel,23657915,Cube,Not Home,15/4/23,50,71,Outram,1.28386,103.84229
COZY Not Home IN CENTRAL SINGAPORE (CHINATOWN),21641329,Rati,Not Home,8/8/23,50,63,Outram,1.28579,103.84235
Chinatown - Luxury [Mixed] Single Capsule,29525951,Kay,Not Home,23/9/23,50,14,Outram,1.28354,103.84243
Spacious Master Bed room Near Chinatown MRT,22328496,Vinay,Not Home,10/8/23,44,14,Outram,1.284,103.84201
★★Cosy City Centre Room with Single bed/Orchard★,29597994,Damien,Not Home,30/7/23,44,40,Tanglin,1.29439,103.83069
Luxury Capsule (Single - Mixed) [Kampong Glam],21415749,Cheryl,Not Home,8/7/23,44,123,Rochor,1.30251,103.8587
Luxury hostel with in-cabin locker - Single mixed,23164690,Adler,Not Home,13/7/23,40,11,Outram,1.28309,103.84457
Brand new cosy hostel@city centre(Single capsule),23549023,Quek,Not Home,21/8/23,40,39,Downtown Core,1.29836,103.85616
Capsule Pod Single Bed in 10 Mix Share Room,14381353,Keith,Not Home,13/8/23,37,37,Outram,1.28353,103.8458
Best location - Chinatown walking street,31237264,Atlantis,Not Home,23/7/23,37,31,Outram,1.28474,103.84352
Trendy Poshtel Capsules,28165463,Atlantis,Not Home,11/8/23,37,23,Outram,1.28381,103.84468
Luxury hostel with in-cabin locker - Single mixed,23164694,Adler,Not Home,20/8/23,35,11,Outram,1.28111,103.84427
Beary's 6 Bed Mixed Dorm (Per Bed),8626676,Beary Best Hostel,Not Home,10/7/23,32,15,Outram,1.28365,103.84637
1-bed in 10-Bed Mix Dormitory..,23165035,Heritage,Not Home,20/6/23,32,23,Outram,1.28164,103.84348
FEMALE DORMS in the heart of Chinatown!,3479446,Royal,Not Home,12/8/23,31,137,Outram,1.28318,103.84335
Dorms... in the heart of Chinatown!,3479493,Royal,Not Home,10/8/23,31,80,Outram,1.28458,103.84298
DORMS... in the heart of Chinatown!,3639516,Royal,Not Home,8/8/23,31,232,Outram,1.28496,103.84318
DORMS... in the heart of Chinatown!,3651408,Royal,Not Home,27/7/23,31,237,Outram,1.28439,103.84308
DORMS - In the heart of Chinatown!,4054698,Royal,Not Home,25/8/23,31,44,Outram,1.28278,103.8445
Capsule Pod Single Bed in 12 Mix Share Room,14496852,Keith,Not Home,15/3/23,31,35,Outram,1.28504,103.84371
Clean Dorms - Steps from Chinatown MRT! (Per Bed),16964231,Royal,Not Home,10/8/23,31,34,Outram,1.28286,103.84467
Female only 4 Bed Dorm,9683612,Gfourstation,Not Home,23/8/23,29,11,Rochor,1.30366,103.85097
6 Bed Mixed Dorm(1),16813372,River City Inn,Not Home,30/7/23,29,26,Singapore River,1.2881,103.84625
9 Bed Female Dorm (4),16831108,River City Inn,Not Home,8/8/23,29,12,Singapore River,1.2871,103.84752
Premium Backpacker 8 Bed Mixed Dorm,8235397,Gfourstation,Not Home,4/8/23,28,115,Rochor,1.30513,103.84969
Beary's 8 Bed Mixed Dorm (Per Bed),8654132,Beary Best Hostel,Not Home,8/6/23,28,34,Outram,1.28285,103.8445
Clean Dorms - Steps from Chinatown MRT! (per bed),16522880,Royal,Not Home,11/8/23,28,16,Outram,1.2847,103.84302
"Capsule C for 1 guest in Dorm, Little India",22586423,Edmund,Not Home,16/5/23,28,21,Rochor,1.30944,103.85219
Single Bed in Mixed Dorm (Free Breakfast),34235543,Seven,Not Home,13/1/23,25,14,Rochor,1.3068,103.85178
10 Bed Mixed Dorm(1) (with windows),16813107,River City Inn,Not Home,22/7/23,23,15,Singapore River,1.28824,103.84652
14 Beds Mixed Dorm(1) (with windows),16812677,River City Inn,Not Home,23/8/23,23,21,Singapore River,1.28725,103.84788
14 Bed Mixed Dorm(2) (with windows),16830539,River City Inn,Not Home,9/6/23,23,20,Singapore River,1.28769,103.84678
