property_description,id,owner,listing_type,date,price,no_of_reviews,neighbourhood,latitude,longitude
Charming APT in the HEART of CBD. Unbeatable LOC,32641495,Stephen,Home,28/1/23,265,22,Singapore River,1.28704,103.84824
Attic Hideaway in Heart of the City,23704585,Amelia,Home,5/8/23,175,27,Outram,1.2818,103.84501
Ann Siang Hill Dapper Apartment for 4pax,25591123,Amelia,Home,3/8/23,175,31,Outram,1.28191,103.84708
Spacious loft Apartment (Opposite Chinatown MRT),6239573,Shirley,Home,12/8/23,131,23,Outram,1.28362,103.84509
Lovely Bedroom w own Toilet - Singapore,1485239,James,Not Home,1/1/23,104,51,Tanglin,1.30768,103.82017
4BR 1600sft Duplex @ NS20 Central 用心的民宿,20812149,Regina & Co.,Home,4/8/23,260,93,Novena,1.32103,103.84115
Cozy 2Bedroom apartment close to MRT,32968093,Sharon,Home,23/6/23,260,12,Rochor,1.30909,103.85185
BUGIS.ORCHD 1Min MRT Condo/Pool/Games Walk Evrwhr,15159420,Sara,Home,21/11/23,258,138,Rochor,1.30295,103.85208
City area 2 bed room apartment,28376148,Cozy,Home,12/8/23,258,28,Novena,1.32644,103.8489
2br Chic Raffles next to MRT,29042315,Daniel,Home,23/2/23,258,23,Outram,1.2815,103.84896
2br Raffles City  next to MRT,29450842,Daniel,Home,12/10/23,258,36,Downtown Core,1.27993,103.84882
"CBD 2BR Swimming pool, Gym 市中心两房",30579935,Amy,Home,10/8/23,258,34,Downtown Core,1.29901,103.85644
Beautiful apartment right above MRT in Chinatown!,28359844,Kelvin,Home,30/6/23,258,67,Outram,1.2814,103.83933
Cozy 2BR Deluxe apartment at Orchard Road,33499796,Jo,Home,2/8/23,169,11,Tanglin,1.3098,103.82543
Walk up apt at Sophia Road,8264110,Alex,Home,24/8/23,100,16,Rochor,1.30387,103.84695
Ben's Concrete Jungle,30023441,Ben,Home,1/1/23,250,16,Downtown Core,1.28059,103.84938
